turn_id,program,speaker,is_moderator,timestamp,timestamp_seconds,text,text_clean,word_count
14,MPP1,Speaker 10,False,17:53,1073,"Yeah, too much student voice. you know, they take, you know, participation and some students just say, you know, too many things that's not so relevant to the class.","Yeah, too much student voice. you know, they take, you know, participation and some students just say, you know, too many things that's not so relevant to the class.",29
15,MPP1,Speaker 11,False,18:04,1084,"Okay, great. [NAME]? Moderately demanding.","Okay, great. ? Moderately demanding.",5
16,MPP1,Moderator,True,18:11,1091,Moderately demanding? Yeah. [NAME] good. Okay. [NAME] demanding.,Moderately demanding? Yeah. good. Okay. demanding.,6
17,MPP1,Speaker 7,False,18:17,1097,"I would say it depends on the kind of course, but to some extent, at least in the core, it gives a bit like the vibes of high school. I would say. I mean, so I mean, maybe also because I was so far educated in a different system, but it's more of like being in a high school class sometimes than an academic class.","I would say it depends on the kind of course, but to some extent, at least in the core, it gives a bit like the vibes of high school. I would say. I mean, so I mean, maybe also because I was so far educated in a different system, but it's more of like being in a high school class sometimes than an academic class.",65
18,MPP1,Moderator,True,18:38,1118,"And just let's tease out one piece of that flavor. So vibes of high school, for example.","And just let's tease out one piece of that flavor. So vibes of high school, for example.",17
19,MPP1,Speaker 7,False,18:44,1124,"For example, I mean, grading participation.","For example, I mean, grading participation.",6
20,MPP1,Moderator,True,18:47,1127,"Okay, grading participation. [NAME]. [NAME] right.","Okay, grading participation. . right.",5
21,MPP1,Speaker 8,False,18:52,1132,[NAME]? I'd say like accommodating to the point of low expectations. [NAME]. [NAME] right.,? I'd say like accommodating to the point of low expectations. . right.,13
22,MPP1,Moderator,True,19:05,1145,"Okay, we'll just let [NAME] catch up. Over, let's add to, um, toward low expectations. Toward low expectations. Thanks. [NAME].","Okay, we'll just let catch up. Over, let's add to, um, toward low expectations. Toward low expectations. Thanks. .",19
23,MPP1,Speaker 5,False,19:27,1167,"Mine was kind of the opposite of that. I was going to say intense. Okay. And also, like, variable, because I think it does depend on the class.","Mine was kind of the opposite of that. I was going to say intense. Okay. And also, like, variable, because I think it does depend on the class.",28
24,MPP1,Moderator,True,19:34,1174,Intense and variable by class. Yeah. Okay. All right.,Intense and variable by class. Yeah. Okay. All right.,9
25,MPP1,Speaker 6,False,19:39,1179,"I would say not much pushback. So I think one of the things with participation is I noticed that there's not much disagreement with what students are saying, even if something might be factually incorrect or questionable.","I would say not much pushback. So I think one of the things with participation is I noticed that there's not much disagreement with what students are saying, even if something might be factually incorrect or questionable.",37
26,MPP1,Moderator,True,19:52,1192,"A lack of pushback. And by pushback, are you thinking instructor pushback or peer pushback?","A lack of pushback. And by pushback, are you thinking instructor pushback or peer pushback?",15
27,MPP1,Speaker 6,False,19:59,1199,"Instructor pushback, maybe. People aren't being challenged in the sense of their ideas being challenged.","Instructor pushback, maybe. People aren't being challenged in the sense of their ideas being challenged.",15
28,MPP1,Moderator,True,20:04,1204,"Okay, thanks. [NAME]?","Okay, thanks. ?",3
29,MPP1,Speaker 12,False,20:07,1207,"I think I roughly agree with what was saying. I think when it comes to professionalism, I think SEND is pretty high. Very high, I would say, in a positive way. When it comes to rigor, I would say it's extremely underwhelming. I think I echo [NAME] and [NAME]'s point in terms of almost each of my classes I find even, and there is a variation, but overall I find rigor to be pretty low.","I think I roughly agree with what was saying. I think when it comes to professionalism, I think SEND is pretty high. Very high, I would say, in a positive way. When it comes to rigor, I would say it's extremely underwhelming. I think I echo and 's point in terms of almost each of my classes I find even, and there is a variation, but overall I find rigor to be pretty low.",74
30,MPP1,Moderator,True,20:37,1237,"High standards of professionalism, underwhelming rigor, right? Correct. Okay, great. We're going to capture that afterward also. We're going to take pictures of our boards, so we have the data as we've collected it today. Thank you very much for that. And now, so now we're going to have sort of a table discussion, And, [NAME], you can sit down if you want to. You don't have to stand. And we're not doing whiteboard stuff now. But so everyone has prior experience in college and maybe even graduate classrooms before coming to HKS. So take a moment to think about how the classroom culture at HKS compares with what you've experienced elsewhere. This goes a little bit towards some of the comparative comments that were coming out. and how those environments affect your learning. It could affect them in different ways. And it's okay to describe specific moments or courses without using anyone's names, without using people's names. So what are one or two ways the professionalism of HCAS classes feels different than your prior experience? And who wants to jump in?","High standards of professionalism, underwhelming rigor, right? Correct. Okay, great. We're going to capture that afterward also. We're going to take pictures of our boards, so we have the data as we've collected it today. Thank you very much for that. And now, so now we're going to have sort of a table discussion, And, , you can sit down if you want to. You don't have to stand. And we're not doing whiteboard stuff now. But so everyone has prior experience in college and maybe even graduate classrooms before coming to HKS. So take a moment to think about how the classroom culture at HKS compares with what you've experienced elsewhere. This goes a little bit towards some of the comparative comments that were coming out. and how those environments affect your learning. It could affect them in different ways. And it's okay to describe specific moments or courses without using anyone's names, without using people's names. So what are one or two ways the professionalism of HCAS classes feels different than your prior experience? And who wants to jump in?",182
31,MPP1,Speaker 11,False,21:52,1312,"I think a couple of things. First, addressing people by their names. That I think is just a high bar for definition a lot of times, at least in my personal work experience, like my professional experience in the past. In intense environments, people are bound not to call you by your name.","I think a couple of things. First, addressing people by their names. That I think is just a high bar for definition a lot of times, at least in my personal work experience, like my professional experience in the past. In intense environments, people are bound not to call you by your name.",53
32,MPP1,Moderator,True,22:13,1333,Are you saying you experienced that in a high degree here?,Are you saying you experienced that in a high degree here?,11
33,MPP1,Speaker 11,False,22:16,1336,"No, so I think my professional experience was that in an intense environment, you are it's fine to not call people by the names whereas at HKS people are very proactive and professors are very proactive in trying to call you by your name and address you by a correct name because we have an international diaspora of students professors may not be able to speak or pronounce name correctly they try and there's an endeavor behind it so i think that is um that Yeah, but I think that's why.","No, so I think my professional experience was that in an intense environment, you are it's fine to not call people by the names whereas at HKS people are very proactive and professors are very proactive in trying to call you by your name and address you by a correct name because we have an international diaspora of students professors may not be able to speak or pronounce name correctly they try and there's an endeavor behind it so i think that is um that Yeah, but I think that's why.",91
34,MPP1,Moderator,True,22:50,1370,That's great. That's a very-- that's a great specific experience. Who'd like to share another-- did you have your hand up? Yeah.,That's great. That's a very-- that's a great specific experience. Who'd like to share another-- did you have your hand up? Yeah.,22
35,MPP1,Speaker 7,False,22:59,1379,"I would say one good difference is compared to my other programs so far. You learn much more from your fellow classmates. I would say a negative thing is the amount of homework that is, I mean, in one way, not very vigorous, but just time consuming, honestly. I mean, just to be quite clear, I mean, it's so funny, of course, just my point of view, but I think in most cases it's not rigorous, it just takes a lot of time. And I mean, I was raised to find systems where you don't do, basically where homework is assigned to a high school, not to a new university. It's more like you go to an academic institution, you learn on a high level, and then you write an accent, not heading to assignments. Like [NAME] said, that is rather long but not really challenging for a week.","I would say one good difference is compared to my other programs so far. You learn much more from your fellow classmates. I would say a negative thing is the amount of homework that is, I mean, in one way, not very vigorous, but just time consuming, honestly. I mean, just to be quite clear, I mean, it's so funny, of course, just my point of view, but I think in most cases it's not rigorous, it just takes a lot of time. And I mean, I was raised to find systems where you don't do, basically where homework is assigned to a high school, not to a new university. It's more like you go to an academic institution, you learn on a high level, and then you write an accent, not heading to assignments. Like said, that is rather long but not really challenging for a week.",148
36,MPP1,Moderator,True,23:50,1430,"Okay, thank you. Who would else like to do a comparison of that experience?","Okay, thank you. Who would else like to do a comparison of that experience?",14
37,MPP1,Speaker 8,False,23:54,1434,"I think, so this is, when I'm talking like over accommodation, lower expectations, I sort of mean that both academic and administrative, but like on the classroom side, I think the comparison is more stark on the administrative side, where in the past, in both college and grad programs, I've been in the past, it's been very much an expectation that the students will come prepared and access course material that they need, and if they can't find it in the first trial, figure it out, whereas here, I think we're very much spoon-fed everything we need, and then if there's even a tiny hiccup, someone will be there and fix it for you immediately, and there's tons of communication. And I think that puts a lot more work on the CAs and the teaching fellows and the professors instead of the students.","I think, so this is, when I'm talking like over accommodation, lower expectations, I sort of mean that both academic and administrative, but like on the classroom side, I think the comparison is more stark on the administrative side, where in the past, in both college and grad programs, I've been in the past, it's been very much an expectation that the students will come prepared and access course material that they need, and if they can't find it in the first trial, figure it out, whereas here, I think we're very much spoon-fed everything we need, and then if there's even a tiny hiccup, someone will be there and fix it for you immediately, and there's tons of communication. And I think that puts a lot more work on the CAs and the teaching fellows and the professors instead of the students.",143
38,MPP1,Moderator,True,24:45:00,89100,Can you draw out how you find that that might affect your learning?,Can you draw out how you find that that might affect your learning?,13
39,MPP1,Speaker 8,False,24:52:00,89520,"I think that people, I have seen in classes where things are completely available and everyone is very responsive and everyone's questions get answered immediately, that that gets, I think, is interpreted as a very positive teaching experience where the professor is a very good teacher in class and it's not always a one-to-one relationship. Whereas when people have professors who are not quite as forthcoming about, yes, I'll provide you every single thing that you need, it's like, oh, well, that's a bad professor and that's just not true. A lot of those professors are very great. incredible instructors, they're just not giving you every single thing you need. You have to find some.","I think that people, I have seen in classes where things are completely available and everyone is very responsive and everyone's questions get answered immediately, that that gets, I think, is interpreted as a very positive teaching experience where the professor is a very good teacher in class and it's not always a one-to-one relationship. Whereas when people have professors who are not quite as forthcoming about, yes, I'll provide you every single thing that you need, it's like, oh, well, that's a bad professor and that's just not true. A lot of those professors are very great. incredible instructors, they're just not giving you every single thing you need. You have to find some.",115
40,MPP1,Speaker 2,False,25:38:00,92280,"Okay, thank you. Does someone else like to contribute?","Okay, thank you. Does someone else like to contribute?",9
41,MPP1,Speaker 10,False,25:43:00,92580,It's kind of in the same context with over participation. Yes. I did my undergrad in [NAME] where people have very different values and culture. like in in classrooms there you know like students usually listen to what professor say and listen to others so they are like listening to others is more valued than like speaking up so like of course here in HKS you know speaking all right is more encouraged than listening to others but of course speaking up is very important and it's very valuable but I sometimes feel like I personally believe that you can learn sometimes you can learn better by listening to others than like sharing your own thoughts but here it I sometimes feel like it's that kind of opportunity is missing. [NAME] thank you. I think one,It's kind of in the same context with over participation. Yes. I did my undergrad in where people have very different values and culture. like in in classrooms there you know like students usually listen to what professor say and listen to others so they are like listening to others is more valued than like speaking up so like of course here in HKS you know speaking all right is more encouraged than listening to others but of course speaking up is very important and it's very valuable but I sometimes feel like I personally believe that you can learn sometimes you can learn better by listening to others than like sharing your own thoughts but here it I sometimes feel like it's that kind of opportunity is missing. thank you. I think one,134
42,MPP1,Speaker 5,False,26:40:00,96000,"comparison I would make is from my undergrad like I said more intense and I think it's like just the environment and kind of the own like self-pressure around who you're around and things like that but I find um within the classroom it's a lot more like it's engaging but it's like less interactive like it's often like one person making one comment at a time versus like small group discussions or others like pair and share sort of activities like I just find it here it's like less yeah less interactive um and like the pedagogical approach is kind of like very similar class to class. Okay, [NAME].","comparison I would make is from my undergrad like I said more intense and I think it's like just the environment and kind of the own like self-pressure around who you're around and things like that but I find um within the classroom it's a lot more like it's engaging but it's like less interactive like it's often like one person making one comment at a time versus like small group discussions or others like pair and share sort of activities like I just find it here it's like less yeah less interactive um and like the pedagogical approach is kind of like very similar class to class. Okay, .",110
43,MPP1,Speaker 6,False,27:28:00,98880,"So I come from the UK system, and class sizes were a lot smaller at my previous institutions. I think that's not necessarily a bad thing. I think some professors are handling large class sizes really well here. And I did have some classes last semester. So for example, I was in the Z section of econ, which had small group discussions, and those were great. The one difference I noticed, even in those smaller class sizes here, is that there is a lot less pushback, which I mentioned in the beginning. So when, for example, as was mentioned, people are making comments, even if those comments might not be helpful, or if they're maybe even factually incorrect, there's very rarely pushback from professors sort of challenging that argument being made. And that I think in some cases is having a bad impact on learning because it means that other students in the classroom, you can learn from other students in the classroom, which is great, but if there's no pushback on things that might not be quite right, then that can also be detrimental to learning if others in the world.","So I come from the UK system, and class sizes were a lot smaller at my previous institutions. I think that's not necessarily a bad thing. I think some professors are handling large class sizes really well here. And I did have some classes last semester. So for example, I was in the Z section of econ, which had small group discussions, and those were great. The one difference I noticed, even in those smaller class sizes here, is that there is a lot less pushback, which I mentioned in the beginning. So when, for example, as was mentioned, people are making comments, even if those comments might not be helpful, or if they're maybe even factually incorrect, there's very rarely pushback from professors sort of challenging that argument being made. And that I think in some cases is having a bad impact on learning because it means that other students in the classroom, you can learn from other students in the classroom, which is great, but if there's no pushback on things that might not be quite right, then that can also be detrimental to learning if others in the world.",192
44,MPP1,Moderator,True,28:30:00,102600,"Okay, great. Let's take another comparison.","Okay, great. Let's take another comparison.",6
45,MPP1,Speaker 12,False,28:33:00,102780,"Yeah, I think a positive comparison was, I think, the fact that, for example, no one really uses their phones. Everyone is paying attention. almost everyone comes prepared. In fact, there is the social pressure that if you don't prepare, you'll be found out, which I think is great. So I think those standards of professionalism is high, and that's great. I think, again, exactly to [NAME] [NAME]'s point, I think it's... I come from [NAME], and the [NAME] education system is certainly not that great. I found myself to be more challenged inside a classroom in my undergrad than I did here.","Yeah, I think a positive comparison was, I think, the fact that, for example, no one really uses their phones. Everyone is paying attention. almost everyone comes prepared. In fact, there is the social pressure that if you don't prepare, you'll be found out, which I think is great. So I think those standards of professionalism is high, and that's great. I think, again, exactly to 's point, I think it's... I come from , and the education system is certainly not that great. I found myself to be more challenged inside a classroom in my undergrad than I did here.",101
46,MPP1,Speaker 2,False,29:15:00,105300,Okay.,Okay.,1
47,MPP1,Speaker 12,False,29:16:00,105360,"Multiple factors of that. On two fronts, one is, as [NAME] said, I think, if we're, it's my strong opinion, but if we're the best institution in the world, and if basic faction and accuracy is allowed to stand in a classroom, you're robbing that person of the opportunity to learn, you're robbing the entire class to learn as well. And I think if we don't uphold each other to a certain level of intellectual rigor standard, the classroom becomes a poorer place intellectually. And I think in an attempt to be respectful or in an attempt to be accommodative, I think that can go a little too far where we're losing the rigor of a classroom and that standard. And then I think that also translates to what [NAME] said in terms of the assignments and the evaluations. they tend to be a lot of what is your opinion, would you reflect, which can really, which doesn't seem rigorous, rather than actually going in depth and being challenged and actually diving deeply into policy topics.","Multiple factors of that. On two fronts, one is, as said, I think, if we're, it's my strong opinion, but if we're the best institution in the world, and if basic faction and accuracy is allowed to stand in a classroom, you're robbing that person of the opportunity to learn, you're robbing the entire class to learn as well. And I think if we don't uphold each other to a certain level of intellectual rigor standard, the classroom becomes a poorer place intellectually. And I think in an attempt to be respectful or in an attempt to be accommodative, I think that can go a little too far where we're losing the rigor of a classroom and that standard. And then I think that also translates to what said in terms of the assignments and the evaluations. they tend to be a lot of what is your opinion, would you reflect, which can really, which doesn't seem rigorous, rather than actually going in depth and being challenged and actually diving deeply into policy topics.",174
48,MPP1,Moderator,True,30:25:00,109500,"Okay, very good. Let's have one more comparison.","Okay, very good. Let's have one more comparison.",8
49,MPP1,Speaker 9,False,30:28:00,109680,"Please, you're free first. My reference point is I graduated [NAME] to Missouri-Russia, So, like, a little bit of, like, conflicting from the [NAME] and Lisa's option because my reference point is in business school condition. But I see, like, for me, like, the best learning experience only, like, individually is to be encouraged. Because, like, in the grades, I will be challenged. So I never, like, learned to be challenged on my previous settings. So I see in this class, for me it was challenging because in my oldest school from the first day, they say like everyone is psychologically safe, there is no stupid answer and there is like no stupid question. So we were like, at least for me it was really like free. But in the class, yeah, in here I am much more receptive towards my stupid comments. like so for me like it has a different perspective.","Please, you're free first. My reference point is I graduated to Missouri-Russia, So, like, a little bit of, like, conflicting from the and Lisa's option because my reference point is in business school condition. But I see, like, for me, like, the best learning experience only, like, individually is to be encouraged. Because, like, in the grades, I will be challenged. So I never, like, learned to be challenged on my previous settings. So I see in this class, for me it was challenging because in my oldest school from the first day, they say like everyone is psychologically safe, there is no stupid answer and there is like no stupid question. So we were like, at least for me it was really like free. But in the class, yeah, in here I am much more receptive towards my stupid comments. like so for me like it has a different perspective.",151
50,MPP1,Moderator,True,31:31:00,113460,Thank you. I think we're going to move to the next part. Unless somebody has one last time. Would you like to share us a quick comparative?,Thank you. I think we're going to move to the next part. Unless somebody has one last time. Would you like to share us a quick comparative?,27
51,MPP1,Speaker 4,False,31:43:00,114180,"Related to [NAME] or [NAME] mentioned, I feel, I'm feeling a peer pressure in this school, that you need to agree with the liberal values. Yeah, taking classes like racism, you need to agree with the DEI. DEI values or black history or what happened to black people like systemic racism against them. And I think just people just assuming that. Don't talk about it. Don't talk about the reason or rationale behind the DEI values, but they're just assuming it. So it's not easy for me to go against it. When I was in college, I graduated college in [NAME]. Even in a [NAME] history class, there's left-wing students and right-wing students, they fight each other against the interpretation of [NAME] modern history. But in here, there's, I feel, a high level of pressure.","Related to or mentioned, I feel, I'm feeling a peer pressure in this school, that you need to agree with the liberal values. Yeah, taking classes like racism, you need to agree with the DEI. DEI values or black history or what happened to black people like systemic racism against them. And I think just people just assuming that. Don't talk about it. Don't talk about the reason or rationale behind the DEI values, but they're just assuming it. So it's not easy for me to go against it. When I was in college, I graduated college in . Even in a history class, there's left-wing students and right-wing students, they fight each other against the interpretation of modern history. But in here, there's, I feel, a high level of pressure.",131
52,MPP1,Moderator,True,32:34:00,117240,"Okay, thank you. That's an important point about camera. So, let me move now to something that we're going to do that's using scenarios. And so the scenarios are, they're fictional, but they're based on some realistic situations. And I'm going to hand them out, and we're going to ask you to read silently for a minute. And then we're going to have table discussion about the scenarios. And we're going to aim for doing two. So I'll be sort of moving us along for time, so that we can cover more than just one of these fictional scenarios, to sort of broaden it out. So let me pass around. I'll pass it.","Okay, thank you. That's an important point about camera. So, let me move now to something that we're going to do that's using scenarios. And so the scenarios are, they're fictional, but they're based on some realistic situations. And I'm going to hand them out, and we're going to ask you to read silently for a minute. And then we're going to have table discussion about the scenarios. And we're going to aim for doing two. So I'll be sort of moving us along for time, so that we can cover more than just one of these fictional scenarios, to sort of broaden it out. So let me pass around. I'll pass it.",113
53,MPP1,Speaker 5,False,33:38:00,121080,Thank you. Can you pass me a pen?,Thank you. Can you pass me a pen?,8
54,MPP1,Speaker 7,False,33:53:00,121980,Mm-hm. Thank you.,Mm-hm. Thank you.,3
55,MPP1,Speaker 4,False,34:03:00,122580,Thank you. Bonjour. Merci. C'est bon. Je vais vous mettre. Merci.,Thank you. Bonjour. Merci. C'est bon. Je vais vous mettre. Merci.,11
56,MPP1,Speaker 6,False,35:29:00,127740,Could you clarify what you mean with the first question?,Could you clarify what you mean with the first question?,10
57,MPP1,Moderator,True,35:36:00,128160,"From the perspective of if you were perhaps in this person's group or if you were in the class, it's a very kind of wide open question that [NAME] is sort of a how do you see this is affecting potentially your own learning. So it is a little deliberately vague. And so we want you to jot the notes so that if we don't hear from everybody during the discussion, we still are collecting the ideas that you're sharing here. So, but now let's hear your comments and discussion about how a scenario of this might affect your own learning and what could be different. I don't know if you faced team experiences like this, either just this past semester or in prior prior experiences but it's it's something that might resonate with you so what is your reaction who would like to jump in what's your reaction about","From the perspective of if you were perhaps in this person's group or if you were in the class, it's a very kind of wide open question that is sort of a how do you see this is affecting potentially your own learning. So it is a little deliberately vague. And so we want you to jot the notes so that if we don't hear from everybody during the discussion, we still are collecting the ideas that you're sharing here. So, but now let's hear your comments and discussion about how a scenario of this might affect your own learning and what could be different. I don't know if you faced team experiences like this, either just this past semester or in prior prior experiences but it's it's something that might resonate with you so what is your reaction who would like to jump in what's your reaction about",149
58,MPP1,Speaker 8,False,36:34:00,131640,what you're seeing here yeah I would have liked to see at the beginning of this but that teammate brings this up in the beginning and everyone in the team agrees on a fair division of labor that can accommodate that teammate instead of making like a post evaluation on what everyone contributed because I think expectations were violated and that that would make me feel worse than if expectations were set in the beginning we'll do what what would you write on,what you're seeing here yeah I would have liked to see at the beginning of this but that teammate brings this up in the beginning and everyone in the team agrees on a fair division of labor that can accommodate that teammate instead of making like a post evaluation on what everyone contributed because I think expectations were violated and that that would make me feel worse than if expectations were set in the beginning we'll do what what would you write on,83
59,MPP1,Moderator,True,37:14:00,134040,this peer evaluation if you were in the group?,this peer evaluation if you were in the group?,9
60,MPP1,Speaker 11,False,37:22:00,134520,"I think I'd prefer to be honest. I would have been significantly affected by the sudden disruption that my peer has provided all of us with. And I don't see the need to hold back. However, I'd also speak to the classist and maybe the professor to make them aware of the situation that we were put in. I'd say how our situation was jeopardized by one team member. So that is taken into consideration.","I think I'd prefer to be honest. I would have been significantly affected by the sudden disruption that my peer has provided all of us with. And I don't see the need to hold back. However, I'd also speak to the classist and maybe the professor to make them aware of the situation that we were put in. I'd say how our situation was jeopardized by one team member. So that is taken into consideration.",75
61,MPP1,Speaker 12,False,38:03:00,136980,"Yeah, I'd probably take a slightly different approach than [NAME] was. I think, so if you look at this case, it seems like he missed meetings, he was unprepared, but at the same time, he participated in discussions, he left detailed comments, and he volunteered to present. So even if in hindsight it's people drafted it, he gave feedback, and he presented, that is still a division of work that might not be equal, but it's within the realm of possible or slash fair. I also agree with [NAME], I think setting expectations initially is better, but I like the flexibility. I think there are a lot of leadership classes here which talk about how instead of taking the viewpoint of one person did this to the other four, a part of the leadership skill we're learning in the real world is that in teams there will be people who will slack, there will be people who will have challenging situations like a family situation, like a job interview. And it's a skill to learn within, which is how do you get everyone to participate, knowing different people's constraints. So I don't mind the situation, and I wouldn't like, for example, external impositions. I like that this is flexible. Personally, I'm not a fan of the peer evaluation. I think that there are different reasons why someone might like or dislike someone that can have nothing to do with their real participation","Yeah, I'd probably take a slightly different approach than was. I think, so if you look at this case, it seems like he missed meetings, he was unprepared, but at the same time, he participated in discussions, he left detailed comments, and he volunteered to present. So even if in hindsight it's people drafted it, he gave feedback, and he presented, that is still a division of work that might not be equal, but it's within the realm of possible or slash fair. I also agree with , I think setting expectations initially is better, but I like the flexibility. I think there are a lot of leadership classes here which talk about how instead of taking the viewpoint of one person did this to the other four, a part of the leadership skill we're learning in the real world is that in teams there will be people who will slack, there will be people who will have challenging situations like a family situation, like a job interview. And it's a skill to learn within, which is how do you get everyone to participate, knowing different people's constraints. So I don't mind the situation, and I wouldn't like, for example, external impositions. I like that this is flexible. Personally, I'm not a fan of the peer evaluation. I think that there are different reasons why someone might like or dislike someone that can have nothing to do with their real participation",241
