turn_id,program,speaker,is_moderator,timestamp,timestamp_seconds,text,text_clean,word_count,umap_x,umap_y,cluster
35,MPP1,Speaker 7,False,22:59,1379,"I would say one good difference is compared to my other programs so far. You learn much more from your fellow classmates. I would say a negative thing is the amount of homework that is, I mean, in one way, not very vigorous, but just time consuming, honestly. I mean, just to be quite clear, I mean, it's so funny, of course, just my point of view, but I think in most cases it's not rigorous, it just takes a lot of time. And I mean, I was raised to find systems where you don't do, basically where homework is assigned to a high school, not to a new university. It's more like you go to an academic institution, you learn on a high level, and then you write an accent, not heading to assignments. Like [NAME] said, that is rather long but not really challenging for a week.","I would say one good difference is compared to my other programs so far. You learn much more from your fellow classmates. I would say a negative thing is the amount of homework that is, I mean, in one way, not very vigorous, but just time consuming, honestly. I mean, just to be quite clear, I mean, it's so funny, of course, just my point of view, but I think in most cases it's not rigorous, it just takes a lot of time. And I mean, I was raised to find systems where you don't do, basically where homework is assigned to a high school, not to a new university. It's more like you go to an academic institution, you learn on a high level, and then you write an accent, not heading to assignments. Like said, that is rather long but not really challenging for a week.",148,21.142992,2.9031498,12
37,MPP1,Speaker 8,False,23:54,1434,"I think, so this is, when I'm talking like over accommodation, lower expectations, I sort of mean that both academic and administrative, but like on the classroom side, I think the comparison is more stark on the administrative side, where in the past, in both college and grad programs, I've been in the past, it's been very much an expectation that the students will come prepared and access course material that they need, and if they can't find it in the first trial, figure it out, whereas here, I think we're very much spoon-fed everything we need, and then if there's even a tiny hiccup, someone will be there and fix it for you immediately, and there's tons of communication. And I think that puts a lot more work on the CAs and the teaching fellows and the professors instead of the students.","I think, so this is, when I'm talking like over accommodation, lower expectations, I sort of mean that both academic and administrative, but like on the classroom side, I think the comparison is more stark on the administrative side, where in the past, in both college and grad programs, I've been in the past, it's been very much an expectation that the students will come prepared and access course material that they need, and if they can't find it in the first trial, figure it out, whereas here, I think we're very much spoon-fed everything we need, and then if there's even a tiny hiccup, someone will be there and fix it for you immediately, and there's tons of communication. And I think that puts a lot more work on the CAs and the teaching fellows and the professors instead of the students.",143,21.385303,2.451328,6
39,MPP1,Speaker 8,False,24:52:00,89520,"I think that people, I have seen in classes where things are completely available and everyone is very responsive and everyone's questions get answered immediately, that that gets, I think, is interpreted as a very positive teaching experience where the professor is a very good teacher in class and it's not always a one-to-one relationship. Whereas when people have professors who are not quite as forthcoming about, yes, I'll provide you every single thing that you need, it's like, oh, well, that's a bad professor and that's just not true. A lot of those professors are very great. incredible instructors, they're just not giving you every single thing you need. You have to find some.","I think that people, I have seen in classes where things are completely available and everyone is very responsive and everyone's questions get answered immediately, that that gets, I think, is interpreted as a very positive teaching experience where the professor is a very good teacher in class and it's not always a one-to-one relationship. Whereas when people have professors who are not quite as forthcoming about, yes, I'll provide you every single thing that you need, it's like, oh, well, that's a bad professor and that's just not true. A lot of those professors are very great. incredible instructors, they're just not giving you every single thing you need. You have to find some.",115,22.094152,1.3562568,-1
40,MPP1,Speaker 2,False,25:38:00,92280,"Okay, thank you. Does someone else like to contribute?","Okay, thank you. Does someone else like to contribute?",9,17.380547,0.47784135,4
41,MPP1,Speaker 10,False,25:43:00,92580,It's kind of in the same context with over participation. Yes. I did my undergrad in [NAME] where people have very different values and culture. like in in classrooms there you know like students usually listen to what professor say and listen to others so they are like listening to others is more valued than like speaking up so like of course here in HKS you know speaking all right is more encouraged than listening to others but of course speaking up is very important and it's very valuable but I sometimes feel like I personally believe that you can learn sometimes you can learn better by listening to others than like sharing your own thoughts but here it I sometimes feel like it's that kind of opportunity is missing. [NAME] thank you. I think one,It's kind of in the same context with over participation. Yes. I did my undergrad in where people have very different values and culture. like in in classrooms there you know like students usually listen to what professor say and listen to others so they are like listening to others is more valued than like speaking up so like of course here in HKS you know speaking all right is more encouraged than listening to others but of course speaking up is very important and it's very valuable but I sometimes feel like I personally believe that you can learn sometimes you can learn better by listening to others than like sharing your own thoughts but here it I sometimes feel like it's that kind of opportunity is missing. thank you. I think one,134,20.142355,1.0411469,-1
42,MPP1,Speaker 5,False,26:40:00,96000,"comparison I would make is from my undergrad like I said more intense and I think it's like just the environment and kind of the own like self-pressure around who you're around and things like that but I find um within the classroom it's a lot more like it's engaging but it's like less interactive like it's often like one person making one comment at a time versus like small group discussions or others like pair and share sort of activities like I just find it here it's like less yeah less interactive um and like the pedagogical approach is kind of like very similar class to class. Okay, [NAME].","comparison I would make is from my undergrad like I said more intense and I think it's like just the environment and kind of the own like self-pressure around who you're around and things like that but I find um within the classroom it's a lot more like it's engaging but it's like less interactive like it's often like one person making one comment at a time versus like small group discussions or others like pair and share sort of activities like I just find it here it's like less yeah less interactive um and like the pedagogical approach is kind of like very similar class to class. Okay, .",110,20.775242,1.8907136,12
43,MPP1,Speaker 6,False,27:28:00,98880,"So I come from the UK system, and class sizes were a lot smaller at my previous institutions. I think that's not necessarily a bad thing. I think some professors are handling large class sizes really well here. And I did have some classes last semester. So for example, I was in the Z section of econ, which had small group discussions, and those were great. The one difference I noticed, even in those smaller class sizes here, is that there is a lot less pushback, which I mentioned in the beginning. So when, for example, as was mentioned, people are making comments, even if those comments might not be helpful, or if they're maybe even factually incorrect, there's very rarely pushback from professors sort of challenging that argument being made. And that I think in some cases is having a bad impact on learning because it means that other students in the classroom, you can learn from other students in the classroom, which is great, but if there's no pushback on things that might not be quite right, then that can also be detrimental to learning if others in the world.","So I come from the UK system, and class sizes were a lot smaller at my previous institutions. I think that's not necessarily a bad thing. I think some professors are handling large class sizes really well here. And I did have some classes last semester. So for example, I was in the Z section of econ, which had small group discussions, and those were great. The one difference I noticed, even in those smaller class sizes here, is that there is a lot less pushback, which I mentioned in the beginning. So when, for example, as was mentioned, people are making comments, even if those comments might not be helpful, or if they're maybe even factually incorrect, there's very rarely pushback from professors sort of challenging that argument being made. And that I think in some cases is having a bad impact on learning because it means that other students in the classroom, you can learn from other students in the classroom, which is great, but if there's no pushback on things that might not be quite right, then that can also be detrimental to learning if others in the world.",192,20.02085,0.7336737,13
45,MPP1,Speaker 12,False,28:33:00,102780,"Yeah, I think a positive comparison was, I think, the fact that, for example, no one really uses their phones. Everyone is paying attention. almost everyone comes prepared. In fact, there is the social pressure that if you don't prepare, you'll be found out, which I think is great. So I think those standards of professionalism is high, and that's great. I think, again, exactly to [NAME] [NAME]'s point, I think it's... I come from [NAME], and the [NAME] education system is certainly not that great. I found myself to be more challenged inside a classroom in my undergrad than I did here.","Yeah, I think a positive comparison was, I think, the fact that, for example, no one really uses their phones. Everyone is paying attention. almost everyone comes prepared. In fact, there is the social pressure that if you don't prepare, you'll be found out, which I think is great. So I think those standards of professionalism is high, and that's great. I think, again, exactly to 's point, I think it's... I come from , and the education system is certainly not that great. I found myself to be more challenged inside a classroom in my undergrad than I did here.",101,20.875818,2.4343386,12
47,MPP1,Speaker 12,False,29:16:00,105360,"Multiple factors of that. On two fronts, one is, as [NAME] said, I think, if we're, it's my strong opinion, but if we're the best institution in the world, and if basic faction and accuracy is allowed to stand in a classroom, you're robbing that person of the opportunity to learn, you're robbing the entire class to learn as well. And I think if we don't uphold each other to a certain level of intellectual rigor standard, the classroom becomes a poorer place intellectually. And I think in an attempt to be respectful or in an attempt to be accommodative, I think that can go a little too far where we're losing the rigor of a classroom and that standard. And then I think that also translates to what [NAME] said in terms of the assignments and the evaluations. they tend to be a lot of what is your opinion, would you reflect, which can really, which doesn't seem rigorous, rather than actually going in depth and being challenged and actually diving deeply into policy topics.","Multiple factors of that. On two fronts, one is, as said, I think, if we're, it's my strong opinion, but if we're the best institution in the world, and if basic faction and accuracy is allowed to stand in a classroom, you're robbing that person of the opportunity to learn, you're robbing the entire class to learn as well. And I think if we don't uphold each other to a certain level of intellectual rigor standard, the classroom becomes a poorer place intellectually. And I think in an attempt to be respectful or in an attempt to be accommodative, I think that can go a little too far where we're losing the rigor of a classroom and that standard. And then I think that also translates to what said in terms of the assignments and the evaluations. they tend to be a lot of what is your opinion, would you reflect, which can really, which doesn't seem rigorous, rather than actually going in depth and being challenged and actually diving deeply into policy topics.",174,21.261742,2.1365118,-1
49,MPP1,Speaker 9,False,30:28:00,109680,"Please, you're free first. My reference point is I graduated [NAME] to Missouri-Russia, So, like, a little bit of, like, conflicting from the [NAME] and Lisa's option because my reference point is in business school condition. But I see, like, for me, like, the best learning experience only, like, individually is to be encouraged. Because, like, in the grades, I will be challenged. So I never, like, learned to be challenged on my previous settings. So I see in this class, for me it was challenging because in my oldest school from the first day, they say like everyone is psychologically safe, there is no stupid answer and there is like no stupid question. So we were like, at least for me it was really like free. But in the class, yeah, in here I am much more receptive towards my stupid comments. like so for me like it has a different perspective.","Please, you're free first. My reference point is I graduated to Missouri-Russia, So, like, a little bit of, like, conflicting from the and Lisa's option because my reference point is in business school condition. But I see, like, for me, like, the best learning experience only, like, individually is to be encouraged. Because, like, in the grades, I will be challenged. So I never, like, learned to be challenged on my previous settings. So I see in this class, for me it was challenging because in my oldest school from the first day, they say like everyone is psychologically safe, there is no stupid answer and there is like no stupid question. So we were like, at least for me it was really like free. But in the class, yeah, in here I am much more receptive towards my stupid comments. like so for me like it has a different perspective.",151,20.448418,0.30826667,-1
51,MPP1,Speaker 4,False,31:43:00,114180,"Related to [NAME] or [NAME] mentioned, I feel, I'm feeling a peer pressure in this school, that you need to agree with the liberal values. Yeah, taking classes like racism, you need to agree with the DEI. DEI values or black history or what happened to black people like systemic racism against them. And I think just people just assuming that. Don't talk about it. Don't talk about the reason or rationale behind the DEI values, but they're just assuming it. So it's not easy for me to go against it. When I was in college, I graduated college in [NAME]. Even in a [NAME] history class, there's left-wing students and right-wing students, they fight each other against the interpretation of [NAME] modern history. But in here, there's, I feel, a high level of pressure.","Related to or mentioned, I feel, I'm feeling a peer pressure in this school, that you need to agree with the liberal values. Yeah, taking classes like racism, you need to agree with the DEI. DEI values or black history or what happened to black people like systemic racism against them. And I think just people just assuming that. Don't talk about it. Don't talk about the reason or rationale behind the DEI values, but they're just assuming it. So it's not easy for me to go against it. When I was in college, I graduated college in . Even in a history class, there's left-wing students and right-wing students, they fight each other against the interpretation of modern history. But in here, there's, I feel, a high level of pressure.",131,20.939135,1.7719239,12
53,MPP1,Speaker 5,False,33:38:00,121080,Thank you. Can you pass me a pen?,Thank you. Can you pass me a pen?,8,17.338879,0.5199683,4
55,MPP1,Speaker 4,False,34:03:00,122580,Thank you. Bonjour. Merci. C'est bon. Je vais vous mettre. Merci.,Thank you. Bonjour. Merci. C'est bon. Je vais vous mettre. Merci.,11,16.711056,0.46185675,4
56,MPP1,Speaker 6,False,35:29:00,127740,Could you clarify what you mean with the first question?,Could you clarify what you mean with the first question?,10,17.959417,0.90128404,4
58,MPP1,Speaker 8,False,36:34:00,131640,what you're seeing here yeah I would have liked to see at the beginning of this but that teammate brings this up in the beginning and everyone in the team agrees on a fair division of labor that can accommodate that teammate instead of making like a post evaluation on what everyone contributed because I think expectations were violated and that that would make me feel worse than if expectations were set in the beginning we'll do what what would you write on,what you're seeing here yeah I would have liked to see at the beginning of this but that teammate brings this up in the beginning and everyone in the team agrees on a fair division of labor that can accommodate that teammate instead of making like a post evaluation on what everyone contributed because I think expectations were violated and that that would make me feel worse than if expectations were set in the beginning we'll do what what would you write on,83,21.833761,0.554442,8
60,MPP1,Speaker 11,False,37:22:00,134520,"I think I'd prefer to be honest. I would have been significantly affected by the sudden disruption that my peer has provided all of us with. And I don't see the need to hold back. However, I'd also speak to the classist and maybe the professor to make them aware of the situation that we were put in. I'd say how our situation was jeopardized by one team member. So that is taken into consideration.","I think I'd prefer to be honest. I would have been significantly affected by the sudden disruption that my peer has provided all of us with. And I don't see the need to hold back. However, I'd also speak to the classist and maybe the professor to make them aware of the situation that we were put in. I'd say how our situation was jeopardized by one team member. So that is taken into consideration.",75,21.623585,0.28752205,8
61,MPP1,Speaker 12,False,38:03:00,136980,"Yeah, I'd probably take a slightly different approach than [NAME] was. I think, so if you look at this case, it seems like he missed meetings, he was unprepared, but at the same time, he participated in discussions, he left detailed comments, and he volunteered to present. So even if in hindsight it's people drafted it, he gave feedback, and he presented, that is still a division of work that might not be equal, but it's within the realm of possible or slash fair. I also agree with [NAME], I think setting expectations initially is better, but I like the flexibility. I think there are a lot of leadership classes here which talk about how instead of taking the viewpoint of one person did this to the other four, a part of the leadership skill we're learning in the real world is that in teams there will be people who will slack, there will be people who will have challenging situations like a family situation, like a job interview. And it's a skill to learn within, which is how do you get everyone to participate, knowing different people's constraints. So I don't mind the situation, and I wouldn't like, for example, external impositions. I like that this is flexible. Personally, I'm not a fan of the peer evaluation. I think that there are different reasons why someone might like or dislike someone that can have nothing to do with their real participation","Yeah, I'd probably take a slightly different approach than was. I think, so if you look at this case, it seems like he missed meetings, he was unprepared, but at the same time, he participated in discussions, he left detailed comments, and he volunteered to present. So even if in hindsight it's people drafted it, he gave feedback, and he presented, that is still a division of work that might not be equal, but it's within the realm of possible or slash fair. I also agree with , I think setting expectations initially is better, but I like the flexibility. I think there are a lot of leadership classes here which talk about how instead of taking the viewpoint of one person did this to the other four, a part of the leadership skill we're learning in the real world is that in teams there will be people who will slack, there will be people who will have challenging situations like a family situation, like a job interview. And it's a skill to learn within, which is how do you get everyone to participate, knowing different people's constraints. So I don't mind the situation, and I wouldn't like, for example, external impositions. I like that this is flexible. Personally, I'm not a fan of the peer evaluation. I think that there are different reasons why someone might like or dislike someone that can have nothing to do with their real participation",241,21.59248,0.37359753,8
62,MPP1,Speaker 5,False,39:31:00,142260,"of grade. But yeah. Let's, yeah, please. I was going to say, I really like peer evaluations. So I come from the opposite perspective. I think this situation would really frustrate me, and I did experience this last semester, so it was really frustrating. But I think the peer evaluation would positively affect my learning, because I think it gives you a chance to be honest, just like we're not the ones at the end of the day like deciding the grades I think just giving all the information is really helpful I think one other thing I thought of that would affect my learning I think that frustration and like for better or worse I think sometimes it can like make me think less of the class or even like of the learning just having that frustration and I think what could be different I think it says at the start like four students are assigned and And I think if you got to choose your own teammates, then maybe you mitigate some of these risks because it's like more social contract, I suppose, with people that you know or trust.","of grade. But yeah. Let's, yeah, please. I was going to say, I really like peer evaluations. So I come from the opposite perspective. I think this situation would really frustrate me, and I did experience this last semester, so it was really frustrating. But I think the peer evaluation would positively affect my learning, because I think it gives you a chance to be honest, just like we're not the ones at the end of the day like deciding the grades I think just giving all the information is really helpful I think one other thing I thought of that would affect my learning I think that frustration and like for better or worse I think sometimes it can like make me think less of the class or even like of the learning just having that frustration and I think what could be different I think it says at the start like four students are assigned and And I think if you got to choose your own teammates, then maybe you mitigate some of these risks because it's like more social contract, I suppose, with people that you know or trust.",192,21.812832,1.9816886,-1
64,MPP1,Speaker 13,False,40:52:00,147120,"Yeah, well, so having been late to this meeting because of a work conflict, I feel like this is very meta. I've been on both ends of this, and I think everyone's...","Yeah, well, so having been late to this meeting because of a work conflict, I feel like this is very meta. I've been on both ends of this, and I think everyone's...",32,18.991701,0.2066046,-1
65,MPP1,Speaker 2,False,40:59:00,147540,We will evaluate you. Please do.,We will evaluate you. Please do.,6,22.463932,2.0598364,10
66,MPP1,Speaker 13,False,41:01:00,147660,"I think everyone's been on both ends of this at some point, right? Like, something happens, people have families, people have friends, people have lives that go on outside of school, and when every class has a group project, that means that I have to find a common time to meet with potentially 20 different people","I think everyone's been on both ends of this at some point, right? Like, something happens, people have families, people have friends, people have lives that go on outside of school, and when every class has a group project, that means that I have to find a common time to meet with potentially 20 different people",56,20.962574,0.9496224,-1
67,MPP1,Speaker 2,False,41:17:00,148620,over the course of one week and balance that with my schedule.,over the course of one week and balance that with my schedule.,12,21.325363,3.6926556,-1
68,MPP1,Speaker 13,False,41:20:00,148800,"They have to do the same. And so it ends up being that we're free for 15 minutes walking past one another in the cafeteria on a [NAME]. That doesn't work. And so I think from a professor's standpoint, giving people the option to work individually on something is strong. Because I understand the importance of group work. But why is it that a high-stakes project depends on three other people? That's not an assessment of my learning. That's an assessment of how well I can balance everything going on in my life, which is heterogeneous among my peers. And that's not fair to me or my peers. So I would prefer that, at least with this scenario, that there's some sort of individual assignment that someone can do in place of group work. Because I think this is pretty common.","They have to do the same. And so it ends up being that we're free for 15 minutes walking past one another in the cafeteria on a . That doesn't work. And so I think from a professor's standpoint, giving people the option to work individually on something is strong. Because I understand the importance of group work. But why is it that a high-stakes project depends on three other people? That's not an assessment of my learning. That's an assessment of how well I can balance everything going on in my life, which is heterogeneous among my peers. And that's not fair to me or my peers. So I would prefer that, at least with this scenario, that there's some sort of individual assignment that someone can do in place of group work. Because I think this is pretty common.",141,21.556509,0.6616563,-1
69,MPP1,Speaker 6,False,42:03:00,151380,"I would agree with that. I think there's a tendency that a lot of core classes use group work. And especially when it happens at the same time, this is when challenges like this one get worse. Because you're just exorbitantly having more commitments and need to align with others.","I would agree with that. I think there's a tendency that a lot of core classes use group work. And especially when it happens at the same time, this is when challenges like this one get worse. Because you're just exorbitantly having more commitments and need to align with others.",50,21.154797,0.95662636,-1
71,MPP1,Speaker 5,False,42:30:00,153000,"it i think generally that it seems that there's an absence of like just assignments and workloads across all classes whether it be a group or anything it's kind of everyone is kind of operating in their own sphere and there's like, I don't know, it's kind of like prisoner's dilemma, like race to the bottom of like just assigning more and like group work and all that.","it i think generally that it seems that there's an absence of like just assignments and workloads across all classes whether it be a group or anything it's kind of everyone is kind of operating in their own sphere and there's like, I don't know, it's kind of like prisoner's dilemma, like race to the bottom of like just assigning more and like group work and all that.",68,20.969946,1.0528216,-1
72,MPP1,Speaker 6,False,42:52:00,154320,"I want to mention one positive exception, which again, the Z section in econ last semester, the professor tried very hard to, for example, have fewer problem sets in the beginning of the semester when people were in negotiations and had a lot of group work. So I think there's very few examples where data is taken into account, but it should definitely be done more.","I want to mention one positive exception, which again, the Z section in econ last semester, the professor tried very hard to, for example, have fewer problem sets in the beginning of the semester when people were in negotiations and had a lot of group work. So I think there's very few examples where data is taken into account, but it should definitely be done more.",66,21.825972,2.5190258,-1
74,MPP1,Speaker 2,False,44:33:00,160380,The cheat pen's breaking. A little bit. Sorry. Oh. They have the big guns. This one works all the way to do. All right.,The cheat pen's breaking. A little bit. Sorry. Oh. They have the big guns. This one works all the way to do. All right.,24,17.45304,0.85296446,4
77,MPP1,Speaker 9,False,46:30:00,167400,"So it happened on several cases in the classroom, negotiation and PTT, and student admit she didn't read it. But as long as like professor, okay we are moving on, but professor controlling her facial expression and non-verbal cue, and I understand you in this case, but you have more days, and so as long as she or he doesn't show that kind of super disappointment, and can be much more partial, I think it's okay for these cases. And also, I want professors to not hold that person, like, gudge on the next things, something like that. And I experienced, for example, PDD, all those students, a student admit, like, she didn't read the thing. Later, like, classes, the professor was trying to ask more questions and make that student more active. So it shows me the kindness. So my way of learning is as long as it's in a kind and inclusive environment, I'm OK with my own learning. So that was my perspective. Thank you.","So it happened on several cases in the classroom, negotiation and PTT, and student admit she didn't read it. But as long as like professor, okay we are moving on, but professor controlling her facial expression and non-verbal cue, and I understand you in this case, but you have more days, and so as long as she or he doesn't show that kind of super disappointment, and can be much more partial, I think it's okay for these cases. And also, I want professors to not hold that person, like, gudge on the next things, something like that. And I experienced, for example, PDD, all those students, a student admit, like, she didn't read the thing. Later, like, classes, the professor was trying to ask more questions and make that student more active. So it shows me the kindness. So my way of learning is as long as it's in a kind and inclusive environment, I'm OK with my own learning. So that was my perspective. Thank you.",168,21.284239,0.022384007,8
78,MPP1,Speaker 2,False,47:42:00,171720,Who else would you like to share from another perspective?,Who else would you like to share from another perspective?,10,16.511713,0.7555544,4
79,MPP1,Speaker 8,False,47:45:00,171900,"I felt that I would probably be a little bit more on edge in this class than other classes. But I think that was probably the professor's intent. And I would definitely also be keeping an eye out to see if the professor was treating everyone the same way. If anyone got a pass on this type of behavior, that would make me look at it much more negatively. Whereas if a professor is treating everyone the exact same way, and if expectations were set clearly on the syllabus and on the first day of classes, I don't think I'd personally have a problem with it. because the student could have communicated with the professor earlier to let them know if there was a special situation or something.","I felt that I would probably be a little bit more on edge in this class than other classes. But I think that was probably the professor's intent. And I would definitely also be keeping an eye out to see if the professor was treating everyone the same way. If anyone got a pass on this type of behavior, that would make me look at it much more negatively. Whereas if a professor is treating everyone the exact same way, and if expectations were set clearly on the syllabus and on the first day of classes, I don't think I'd personally have a problem with it. because the student could have communicated with the professor earlier to let them know if there was a special situation or something.",128,21.416094,0.1516589,8
80,MPP1,Speaker 10,False,48:32:00,174720,"Yeah, I also actually think this kind of strict disagreeing and coherent rules are very important for learning. So I think actually this kind of attitude of professor actually helped my learning because you know, a lot of course require a great workload, and all those assignments and readings were there for reasons, and students, they can be busy or sometimes they can be lazy, and professors are actually responsible for getting students to do the assignments and read the materials. So I think, you know, the professional scenario is actually encouraging students to get more involved in the class.","Yeah, I also actually think this kind of strict disagreeing and coherent rules are very important for learning. So I think actually this kind of attitude of professor actually helped my learning because you know, a lot of course require a great workload, and all those assignments and readings were there for reasons, and students, they can be busy or sometimes they can be lazy, and professors are actually responsible for getting students to do the assignments and read the materials. So I think, you know, the professional scenario is actually encouraging students to get more involved in the class.",100,21.921701,1.6280141,-1
81,MPP1,Speaker 5,False,49:30:00,178200,"I think for me, this would really negatively affect my learning. I think I would feel like secondhand embarrassment for the person. And I would think that could be me if I had something going on. I think to speak like this to a room full of adults is like not okay. I think like we're we're all adults, we're not kids. So I think, like, given the big class sizes, like the professor could just move on to the next person. I don't, yeah, I think for me this would, like, yeah, negatively affect how I view the class and how, yeah, I view the culture and how, like, psychologically safe I probably feel in the class.","I think for me, this would really negatively affect my learning. I think I would feel like secondhand embarrassment for the person. And I would think that could be me if I had something going on. I think to speak like this to a room full of adults is like not okay. I think like we're we're all adults, we're not kids. So I think, like, given the big class sizes, like the professor could just move on to the next person. I don't, yeah, I think for me this would, like, yeah, negatively affect how I view the class and how, yeah, I view the culture and how, like, psychologically safe I probably feel in the class.",118,20.863174,0.4179504,-1
83,MPP1,Speaker 11,False,50:08:00,180480,"Yeah. I think I agree with what [NAME] said, but I also feel that there is a certain merit to holding people to a certain academic standard. So maybe calling out the person by using the word that's disappointing may not be the right thing to do. [NAME] that moment the professor could move on to the next participant and I believe everyone in the class would still understand that it is important. [NAME] the person who did not come to pay for whatsoever reason, it could be callousness or a genuine reason, the professor could schedule a one-on-one chat later on or CA could relay that feedback that this is something we should be careful about or stuff like that. I genuinely feel that we should all be collectively holding ourselves to a better preparation for class and thereby a better academic standard. So I agree there's a trade-off. I think on the one","Yeah. I think I agree with what said, but I also feel that there is a certain merit to holding people to a certain academic standard. So maybe calling out the person by using the word that's disappointing may not be the right thing to do. that moment the professor could move on to the next participant and I believe everyone in the class would still understand that it is important. the person who did not come to pay for whatsoever reason, it could be callousness or a genuine reason, the professor could schedule a one-on-one chat later on or CA could relay that feedback that this is something we should be careful about or stuff like that. I genuinely feel that we should all be collectively holding ourselves to a better preparation for class and thereby a better academic standard. So I agree there's a trade-off. I think on the one",152,21.447865,0.031079186,8
